
11:13:07.917 INFO ParseArchs(): Active architecture: i386

11:13:07.917 WARNING ExecuteTask(): org.intel.xrt_builder.Algorithms.BuildRetroAlgorithm

11:13:07.922 INFO start(): Running command line: "[java -Dretrolambda.inputDir=/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/MultiScreen/build/retro/input -Dretrolambda.classpath=/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/MultiScreen/build/retro/input:/Applications/Intel/INDE/multi_os_engine/sdk/intel-moe-ios.jar:/Applications/Intel/INDE/multi_os_engine/sdk/intel-moe-core.jar -Dretrolambda.outputDir=/Users/wangjiahe/AndroidStudioProjects/AndroidIOS/MultiScreen/build/retro/output -Dretrolambda.natjSupport=true -Dretrolambda.defaultMethods=true -jar /Applications/Intel/INDE/multi_os_engine/tools/retrolambda.jar]"

11:13:08.024 INFO run(): module "run retrolambda": out_stream: "Retrolambda 2.0.2-SNAPSHOT"

11:13:08.031 INFO run(): module "run retrolambda": out_stream: "Bytecode version: 51 (Java 7)"

11:13:08.031 INFO run(): module "run retrolambda": out_stream: "Default methods:  true"

11:13:08.031 INFO run(): module "run retrolambda": out_stream: "NatJ support:     true"

11:13:08.031 INFO run(): module "run retrolambda": out_stream: "Input directory:  /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/MultiScreen/build/retro/input"

11:13:08.031 INFO run(): module "run retrolambda": out_stream: "Output directory: /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/MultiScreen/build/retro/output"

11:13:08.031 INFO run(): module "run retrolambda": out_stream: "Classpath:        /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/MultiScreen/build/retro/input:/Applications/Intel/INDE/multi_os_engine/sdk/intel-moe-ios.jar:/Applications/Intel/INDE/multi_os_engine/sdk/intel-moe-core.jar"

11:13:08.272 INFO run(): module "run retrolambda": out_stream: "Injected NatJ annotations into com/com/intel/ios/ios/ui/AppViewController.viewDidLoad"

11:13:08.273 INFO run(): module "run retrolambda": out_stream: "Injected NatJ.register() into com/com/intel/ios/ios/ui/AppViewController"

11:13:08.292 INFO run(): module "run retrolambda": out_stream: "Injected NatJ annotations into com/com/intel/multiscreen/ui/AppViewController.viewDidLoad"

11:13:08.292 INFO run(): module "run retrolambda": out_stream: "Injected NatJ.register() into com/com/intel/multiscreen/ui/AppViewController"

11:13:08.323 INFO createBuildDirectories(): Build directory: /Users/wangjiahe/AndroidStudioProjects/AndroidIOS/MultiScreen/build
